ID,Name,Birth Year,Death Year,Country,Work,Instrumentation,Link
1397,"Tárrega, Francisco",1852,1909,,"Dos hermanitas (Tárrega, Francisco)",guitar,https://imslp.org/wiki/Dos_hermanitas_(T%C3%A1rrega%2C_Francisco)
1398,"Copa Casilla, Andrés",,,,"Dos Soledades, Op.3 (Copa Casilla, Andrés)","violin, guitar",https://imslp.org/wiki/Dos_Soledades%2C_Op.3_(Copa_Casilla%2C_Andr%C3%A9s)
1399,"Lauwers, Kristof",,,,"Doskordianistick (Lauwers, Kristof)",2 classical guitars,https://imslp.org/wiki/Doskordianistick_(Lauwers%2C_Kristof)
1400,"Feltre, Alphonse de",1806,1850,,"Doux Tyrol (Feltre, Alphonse de)","Guitar, Voice, Piano",https://imslp.org/wiki/Doux_Tyrol_(Feltre%2C_Alphonse_de)
1401,"De Larrard, Francois",,,,"Doux-amer (De Larrard, Francois)",4 Guitars,https://imslp.org/wiki/Doux-amer_(De_Larrard%2C_Francois)
1402,"Weidt, Albert John",1866,1945,,"Down the Mississippi (Weidt, Albert John)",2 guitars,https://imslp.org/wiki/Down_the_Mississippi_(Weidt%2C_Albert_John)
1403,"Winner, Septimus",1827,1902,,"Down Upon the Rappahannock (Winner, Septimus)","voice, guitar; or voice, piano",https://imslp.org/wiki/Down_Upon_the_Rappahannock_(Winner%2C_Septimus)
1404,"Malancioiu, Gabriel",,,,"Doğala Doğru (Malancioiu, Gabriel)",guitar duo,https://imslp.org/wiki/Do%C4%9Fala_Do%C4%9Fru_(Malancioiu%2C_Gabriel)
1405,Decembertexture,,,,Drang (Decembertexture),guitar,https://imslp.org/wiki/Drang_(Decembertexture)
1406,"Hayden, Winslow Lewis",1839,1886,,"Dream Faces Waltz (Hayden, Winslow Lewis)",guitar,https://imslp.org/wiki/Dream_Faces_Waltz_(Hayden%2C_Winslow_Lewis)
1407,"Weidt, Albert John",1866,1945,,"The Dream Girl (Weidt, Albert John)",guitar,https://imslp.org/wiki/The_Dream_Girl_(Weidt%2C_Albert_John)
1408,"Weidt, Albert John",1866,1945,,"Dream Pictures (Weidt, Albert John)",guitar,https://imslp.org/wiki/Dream_Pictures_(Weidt%2C_Albert_John)
1409,"Frey, E. H.",1862,1932,,"Dream Visions Serenade (Frey, E. H.)",guitar,https://imslp.org/wiki/Dream_Visions_Serenade_(Frey%2C_E._H.)
1410,"León Egea, Ramón",,,,"Dream, Op.63 (León Egea, Ramón)",guitar; 10 string guitar,https://imslp.org/wiki/Dream%2C_Op.63_(Le%C3%B3n_Egea%2C_Ram%C3%B3n)
